Level1,Level2,Level3,Level4,Federal,State,Local
North-East,NE-2,05548,NULL,50951.5340,57439.2662,17628.8956
South-East,SE-6,05155,NULL,82824.2860,76805.6848,30259.3718
South-East,SE-1,05345,NULL,81085.5242,88337.2770,31017.7711
North-East,NE-7,05184,NULL,168496.9868,130784.0666,62936.9830
Central,C-4,05484,NULL,47812.3615,62146.8102,13426.1623
Central-South,CS-4,05525,NULL,48343.5450,38344.7903,17597.5907
Central-North,CN-3,05560,NULL,40579.2476,69426.2858,11567.9810
Central-North,CN-7,05553,NULL,0.0000,0.0000,0.0000
North,N-3,05178,NULL,101543.2707,98343.0192,31183.6393
North,N-2,05636,NULL,40351.5236,40678.3427,11786.9432
Central-North,CN-6,05195,NULL,204261.0768,220240.7543,61677.7628
North,N-3,05518,NULL,151383.1203,138928.8951,43449.6205
CLOSE,CLOSE,05213,NULL,NULL,NULL,NULL
Central-North,CN-6,05655,NULL,56403.5153,0.0000,22955.0192
North-East,NE-4,05161,NULL,104854.3817,88447.3435,29770.6577
North,N-2,05572,NULL,58317.1240,62306.5241,22140.4288
Central,C-5,05401,NULL,97559.7437,116960.6950,42900.9335
Central,C-5,05476,NULL,41755.1525,79044.9809,14455.4669
North-East,NE-3,05652,NULL,80639.7426,0.0000,22476.2103
North-East,NE-3,05310,NULL,93674.7414,82580.1055,32053.3625
Central-North,CN-8,05145,NULL,68928.8007,76248.7999,22793.2677
North-East,NE-7,05231,NULL,54532.6192,60918.7627,21082.9712
Central-North,CN-5,05228,NULL,57736.1236,76651.0958,14680.0192
Central-North,CN-5,05384,NULL,56930.4292,59130.0761,20967.5337
Central,C-2,05502,NULL,57828.1480,53289.0384,20989.5245
Central,C-8,05370,NULL,39143.3055,54772.2093,15603.5909
North,N-1,05469,NULL,1163047.8734,1299532.3951,473365.3161
DUMMY,DUMMY,05981,NULL,NULL,NULL,NULL
North-East,NE-7,0554,NULL,68186.2758,69119.0775,19289.3338
South-East,SE-6,05527,NULL,49437.6483,46367.8852,23683.2292
Central-North,CN-3,05338,NULL,113643.6634,131384.2870,46142.0200
North-East,NE-6,0512,NULL,74934.8010,67734.3713,21735.7908
North-East,NE-4,05373,NULL,0.0000,141227.8267,0.0000
South-East,SE-1,05582,NULL,35528.9436,26268.1147,14093.2864
South-East,SE-5,05510,NULL,44060.0381,30486.7718,18417.2094
E-COMMERCE,cross-border,05995,NULL,0.0000,0.0000,0.0000
Central-North,CN-6,05315,NULL,55137.2474,50113.5426,22039.0763
DUMMY,DUMMY,05930,NULL,NULL,NULL,NULL
Central-South,CS-1,05656,NULL,28964.2854,0.0000,8114.4093
Central-North,CN-4,05562,NULL,48259.2007,53394.5431,18111.7054
Central,C-7,05152,NULL,87732.5959,112909.8948,33323.6199
South-East,SE-3,0597,NULL,83929.8019,80988.8571,33902.1730
Central-South,CS-3,05381,NULL,35126.3810,28454.7244,11777.2574
Central,C-6,05463,NULL,0.0000,73459.8961,0.0000
DUMMY,DUMMY,05885,NULL,NULL,NULL,NULL
Central-North,CN-8,05156,NULL,96990.3914,75634.3248,33962.7534
Central-South,CS-1,05314,NULL,42653.9151,51373.2000,13870.0102
North,N-1,05627,NULL,58647.1903,51535.9246,22574.1052
North,N-1,05559,NULL,97190.5146,82247.0955,29824.8106
North,N-2,05549,NULL,39151.0476,44689.4959,15676.7141
Central,C-1,05462,NULL,139294.0674,161398.7432,57087.3908
North-East,NE-7,05190,NULL,61805.7621,72971.7899,20654.5527
